     119    1805   39.1400  283.9700   1.83171E-04
     120    1806   39.4100  283.1900   9.33759E-04
     121    1807   39.7000  281.8200   2.47625E-04
     122    1808   39.5300  280.7700   1.84824E-04
     123    1901   42.3700  286.9100   4.10918E-04
     124    1902   42.3500  288.0800   1.09815E-03
     125    1903   41.8600  289.1900   6.41213E-04
     126    2001   46.3500  271.7500   2.58942E-03
     127    2002   46.1500  274.2200   1.80865E-03
     128    2003   44.6600  274.6100   1.25833E-03
     129    2004   44.8100  275.9300   1.72224E-03
     130    2005   43.6600  274.0500   7.86833E-04
     131    2006   43.6600  275.1500   1.22042E-03
     132    2007   43.4700  276.6400   1.12340E-03
     133    2008   42.4200  274.1600   1.19617E-03
     134    2009   42.4200  275.2800   1.69950E-03
     135    2010   42.4200  276.6100   1.75559E-03
     136    2101   47.7600  263.9700   3.41967E-03
     137    2102   47.5900  265.8500   3.44813E-03
     138    2103   47.6300  268.0000   2.68626E-03
     139    2104   45.7000  264.1400   2.50017E-03
     140    2105   45.3500  265.5700   2.65342E-03
     141    2106   46.0600  266.7500   2.35130E-03
     142    2107   44.0500  264.3900   1.59599E-03
     143    2108   43.9600  266.0500   1.68138E-03
     144    2109   43.9700  267.6800   1.55659E-03
     145    2201   34.0400  269.5200   7.89061E-04
     146    2202   34.3100  270.3700   1.24759E-03
     147    2203   34.5000  271.4000   9.61784E-04
     148    2204   33.1100  269.3400   1.10717E-03
     149    2205   32.9100  270.3100   1.60919E-03
     150    2206   33.3300  271.2900   1.38800E-03
     151    2207   31.7200  269.2400   1.64274E-03
     152    2208   31.5400  270.1900   1.14569E-03
     153    2209   31.7400  271.1600   1.59552E-03
     154    2210   30.6500  270.9900   9.39417E-04
     155    2301   39.7400  266.1300   3.82913E-03
     156    2302   39.2600  268.3100   3.64403E-03
     157    2303   38.3400  266.5600   2.67314E-03
     158    2304   37.1200  266.5500   2.99798E-03
     159    2305   37.3400  269.0000   3.92895E-03
     160    2306   36.6300  270.1300   1.07434E-03
     161    2401   47.2600  245.7300   6.35688E-03
     162    2402   45.3900  247.8200   3.67465E-03
     163    2403   48.2300  249.7100   7.00444E-03
     164    2404   46.9200  249.5800   5.76679E-03
     165    2405   45.5500  251.3700   4.53680E-03
     166    2406   47.9000  254.2500   5.81277E-03
     167    2407   46.0000  254.5100   5.16520E-03
     168    2501   42.0000  257.0000   3.70452E-03
     169    2502   42.2600  259.6500   4.90315E-03
     170    2503   42.2400  262.6100   1.99103E-03
     171    2505   41.1700  260.7700   1.91863E-03
     172    2506   41.1600  262.8700   2.18611E-03
     173    2507   40.7000  258.8700   2.46767E-03
     174    2508   40.3400  260.8600   1.18456E-03
     175    2509   40.3300  262.9600   1.75572E-03
     176    2601   40.6000  241.4500   7.95953E-03
     177    2604   36.4800  245.0500   2.55050E-03
     178    2701   44.3500  288.3400   7.45780E-04
     179    2702   43.2000  288.2600   1.67716E-03
     180    2801   40.8300  285.4200   7.49324E-04
     181    2802   39.8400  285.3400   1.14092E-03
     182    2803   39.6700  285.7700   1.50395E-04
     183    2901   36.1100  251.8100   3.54545E-03
     184    2902   36.1700  254.3500   4.82233E-03
     185    2903   35.4000  256.4800   3.91933E-03
     186    2904   34.1400  253.2300   3.74506E-03
     187    2905   33.7100  252.0300   2.51572E-03
     188    2906   34.1500  254.2500   2.50622E-03
     189    2907   33.2400  255.8900   5.70314E-03
     190    2908   32.3000  252.8100   4.92688E-03
     191    3001   42.2300  282.1600   1.11934E-03
     192    3002   42.3200  284.9300   2.36005E-03
     193    3003   43.8400  285.3400   1.83588E-03
     194    3004   40.9300  286.9600   4.72525E-04
     195    3005   42.5200  286.2900   1.66029E-03
     196    3006   43.1200  285.0000   7.11370E-04
     197    3007   44.2100  286.3500   8.00453E-04
     198    3008   44.6300  285.1300   7.68177E-04
     199    3009   43.1300  282.6300   1.90172E-03
     200    3010   42.7800  282.9700   1.28072E-03
     201    3101   35.4900  277.1600   2.00486E-03
     202    3103   36.2000  280.9200   1.61868E-03
     203    3104   35.7200  279.8600   1.45298E-03
     204    3105   35.2000  279.6300   1.48858E-03
     205    3106   34.6700  281.5700   2.54990E-03
     206    3107   35.2900  282.8800   1.83368E-03
     207    3108   36.0700  283.0800   1.81451E-03
     208    3201   48.4600  257.4600   2.44201E-03
     209    3202   48.3900  259.7600   1.84577E-03
     210    3203   48.3100  261.8400   2.28191E-03
     211    3204   47.4800  257.6500   2.27087E-03
     212    3205   47.2700  260.5600   1.91202E-03
     213    3206   47.1300  262.3900   1.46116E-03
     214    3207   46.5400  256.9300   2.11813E-03
     215    3208   46.4900  259.0700   2.09789E-03
     216    3209   46.2800  261.7000   1.97275E-03
     217    3301   41.1700  275.9000   1.27532E-03
     218    3302   41.1200  277.1700   8.62020E-04
     219    3303   41.3600  278.7800   9.85472E-04
     220    3304   40.3100  275.8900   1.05847E-03
     221    3305   40.0200  277.0000   1.25492E-03
     222    3306   40.6100  277.8700   7.73993E-04
     223    3307   40.6200  278.9400   8.59873E-04
     224    3308   39.3800  275.8900   1.18192E-03
     225    3309   38.8900  277.1900   1.07672E-03
     226    3310   39.6400  278.2800   1.40628E-03
     227    3401   36.7400  259.1500   2.09759E-03
     228    3402   36.5900  261.9100   2.12854E-03
     229    3403   36.5500  264.3100   2.20502E-03
     230    3404   35.6200  260.8800   1.56227E-03
     231    3405   35.4900  262.8000   2.67661E-03
     232    3406   35.4500  264.6300   1.86088E-03
     233    3407   34.8000  261.0700   1.80262E-03
     234    3408   34.3800  263.0900   2.19409E-03
     235    3409   34.4700  264.9400   1.68062E-03
     236    3501   44.5000  236.2600   2.17957E-03
     237    3502   44.7900  237.1400   2.46496E-03
     238    3503   42.8200  237.1000   2.31847E-03
     239    3506   45.4900  239.8000   2.31847E-03
     240    3507   43.4600  240.0000   7.72319E-03
     241    3508   45.0000  242.0000   3.31607E-03
     242    3509   43.1500  242.4300   2.60639E-03
     243    3602   40.7900  284.2000   5.00556E-04
     244    3603   40.2000  284.1100   1.14160E-03
     245    3604   39.9400  282.8300   7.21321E-04
     246    3605   40.9100  283.0000   1.26320E-03
     247    3606   41.7100  283.5400   1.05070E-03
     248    3607   41.1200  281.8700   1.14514E-03
     249    3608   40.2500  281.7200   9.36182E-04
     250    3609   40.3700  280.2900   2.13681E-03
     251    3610   41.5800  280.7200   2.05889E-03
     252    3701   41.7000  288.5200   0.00000E+00
     253    3802   34.8000  277.8700   1.19045E-03
     254    3803   34.6600  279.1400   8.74238E-04
     255    3804   34.0000  280.5000   1.70885E-03
     256    3805   33.9300  278.1300   1.07076E-03
     257    3806   33.7400  279.2900   1.21714E-03
     258    3807   32.9200  279.3800   1.86493E-03
     259    3901   45.1800  257.3800   3.28857E-03
     260    3902   45.4500  259.8700   2.04658E-03
     261    3903   45.4500  262.2800   1.98839E-03
     262    3905   43.6600  257.5700   2.67460E-03
     263    3906   44.4800  259.8700   2.87725E-03
     264    3907   44.4800  262.3900   2.26729E-03
     265    3908   43.4800  259.8700   1.52691E-03
     266    3909   43.3900  262.5000   2.65855E-03
     267    4001   35.8500  276.2800   2.86470E-03
     268    4002   35.7900  274.7200   1.81299E-03
     269    4003   35.7900  273.0000   3.84930E-03
     270    4004   35.7400  271.0000   2.47416E-03
